candidate_id,rank,score,reasoning
CAND_0000031,1,100.0000,"Senior AI/ML profile with 6 years experience across Recommendation Systems Engineer roles; demonstrates strong availability (response rate 91%, notice 60 days) and matches core skills in Image Classification, Machine Learning and Feature Engineering."
CAND_0000001,2,81.5804,"Senior AI/ML profile with 7 years experience across Backend Engineer roles; demonstrates strong availability (response rate 34%, notice 60 days) and matches core skills in TTS, Speech Recognition and Milvus."
CAND_0000021,3,43.5378,"Senior AI/ML profile with 14 years experience across Project Manager roles; demonstrates strong availability (response rate 49%, notice 60 days) and matches core skills in Fine-tuning LLMs, Prompt Engineering and Embeddings."
CAND_0000015,4,34.4021,"Senior AI/ML profile with 5 years experience across Software Engineer roles; demonstrates strong availability (response rate 32%, notice 90 days) and matches core skills in PyTorch, Computer Vision and Qdrant."
CAND_0000027,5,32.3139,"AI/ML profile with 4 years experience across DevOps Engineer roles; demonstrates strong availability (response rate 58%, notice 90 days) and matches core skills in Data Science, PEFT and YOLO."
CAND_0000010,6,32.1390,"AI/ML profile with 5 years experience across Data Engineer roles; demonstrates strong availability (response rate 40%, notice 120 days) and matches core skills in GANs, Object Detection and BM25."
CAND_0000038,7,28.8989,"Senior AI/ML profile with 7 years experience across Java Developer roles; demonstrates strong availability (response rate 20%, notice 90 days) and matches core skills in Weaviate, Agile and Azure."
CAND_0000032,8,28.5411,"Senior AI/ML profile with 8 years experience across .NET Developer roles; demonstrates strong availability (response rate 69%, notice 150 days) and matches core skills in Speech Recognition, OpenCV and Embeddings."
CAND_0000023,9,28.0887,"AI/ML profile with 4 years experience across Software Engineer roles; demonstrates strong availability (response rate 57%, notice 30 days) and matches core skills in Node.js, Rust and Marketing."
CAND_0000025,10,23.0474,"Senior AI/ML profile with 7 years experience across Frontend Engineer roles; demonstrates strong availability (response rate 74%, notice 120 days) and matches core skills in LangChain, JavaScript and Data Pipelines."
CAND_0000035,11,23.0158,"AI/ML profile with 4 years experience across Full Stack Developer roles; demonstrates strong availability (response rate 34%, notice 60 days) and matches core skills in Speech Recognition, BentoML and Next.js."
CAND_0000048,12,21.5146,"Senior AI/ML profile with 10 years experience across Mobile Developer roles; demonstrates strong availability (response rate 65%, notice 120 days) and matches core skills in Terraform, Content Writing and Vue.js."
CAND_0000011,13,19.0517,"AI/ML profile with 2 years experience across QA Engineer roles; demonstrates strong availability (response rate 56%, notice 90 days) and matches core skills in Kubeflow, Recommendation Systems and Spring Boot."
CAND_0000044,14,18.8332,"Senior AI/ML profile with 6 years experience across Frontend Engineer roles; demonstrates strong availability (response rate 66%, notice 90 days) and matches core skills in dbt, Python and Databricks."
CAND_0000043,15,18.5972,"Senior AI/ML profile with 8 years experience across Cloud Engineer roles; demonstrates strong availability (response rate 4%, notice 120 days) and matches core skills in Image Classification, Fine-tuning LLMs and TensorFlow."
CAND_0000014,16,18.4753,"Senior AI/ML profile with 8 years experience across Frontend Engineer roles; demonstrates strong availability (response rate 80%, notice 90 days) and matches core skills in GANs, OpenSearch and FAISS."
CAND_0000018,17,10.7105,"Senior AI/ML profile with 7 years experience across Frontend Engineer roles; demonstrates strong availability (response rate 16%, notice 120 days) and matches core skills in CNN, Java and Accounting."
CAND_0000007,18,6.7527,"Senior AI/ML profile with 6 years experience across Civil Engineer roles; demonstrates strong availability (response rate 62%, notice 30 days) and matches core skills in MongoDB, Sales and Spark."
CAND_0000045,19,6.7223,"Senior AI/ML profile with 12 years experience across Project Manager roles; demonstrates strong availability (response rate 62%, notice 60 days) and matches core skills in Redux, SAP and Airflow."
CAND_0000013,20,6.3607,"AI/ML profile with 1 years experience across Civil Engineer roles; demonstrates strong availability (response rate 28%, notice 30 days) and matches core skills in Flask, Redux and Spark."
CAND_0000039,21,6.3592,"AI/ML profile with 4 years experience across Marketing Manager roles; demonstrates strong availability (response rate 52%, notice 30 days) and matches core skills in Hadoop, Microservices and CI/CD."
CAND_0000016,22,6.1495,"Senior AI/ML profile with 5 years experience across Accountant roles; demonstrates strong availability (response rate 64%, notice 60 days) and matches core skills in Kubeflow, SQL and Photoshop."
CAND_0000022,23,5.0476,"AI/ML profile with 1 years experience across Mechanical Engineer roles; demonstrates strong availability (response rate 27%, notice 150 days) and matches core skills in Terraform, Scrum and AWS."
CAND_0000009,24,4.9924,"Senior AI/ML profile with 11 years experience across Mechanical Engineer roles; demonstrates strong availability (response rate 53%, notice 150 days) and matches core skills in OpenCV, Go and Snowflake."
